hoc.addisababa@mea.gov.in,"Addis Ababa, Ethiopia.",011-6362010,65,https://expertchikitsa.com/listing/visa/ethiopia/indian-medical-visa-from-ethiopia-find-medical-visa-fees-and-online-application-details/
cimsa@swiftmombasa.com,India Consulate in Kenya,+91 8095504033,60,https://expertchikitsa.com/listing/visa/kenya/indian-medical-visa-from-kenya-find-medical-visa-cost-duration-and-application-details/
library@um2ygn.gov.mm,Aim & objective,,55,https://um2ygn.edu.mm/library
julie@charltonmediamail.com,Health Care,,55,https://punhlainghospitals.com/wp-content/uploads/2020/09/PressRelease-MM_Pun-Hlaing-Hospital-Clinches-Three-Healthcare-Asia-Awards.pdf
sphmyanmar@gmail.com,Summer Palace Hotel,,55,https://grandhantha.com/nearby-hotels/
sphadmin@jlmyanmar.com,Summer Palace Hotel,,55,https://grandhantha.com/nearby-hotels/
wellness@grandhantha.com,Kamayut Tsp. Yangon.,,55,https://grandhantha.com/wellness-center/
passportvisa@hcinairobi.co.ke,India Consulate in Kenya,+91 8095504033,55,https://expertchikitsa.com/listing/visa/kenya/indian-medical-visa-from-kenya-find-medical-visa-cost-duration-and-application-details/
marketing@isaps.org,"Argentina
United",,55,https://www.isaps.org/media/vdpdanke/isaps-global-survey_2021.pdf
khinhninppp@phsh.com.mm,Julie Anne,,50,https://punhlainghospitals.com/wp-content/uploads/2020/09/PressRelease-MM_Pun-Hlaing-Hospital-Clinches-Three-Healthcare-Asia-Awards.pdf
majestyhotel@gmail.com,Majesty Hotel,,50,https://grandhantha.com/nearby-hotels/
sysphotel@gmail.com,San Yar Shwe Pyi Hotel,,50,https://grandhantha.com/nearby-hotels/
contact@expertchikitsa.com,Expert Chikista,+91 8095504033,50,https://expertchikitsa.com/about-us/
online@www.isaps.org,Online,,50,https://www.isaps.org/media/vdpdanke/isaps-global-survey_2021.pdf
punhlaingclinic@punhlainghospitals.com,Punhlaingclinic,,45,https://punhlainghospitals.com/pun-hlaing-clinic-taw-win/
info@lchafrica.com,Key Details,,40,https://expertchikitsa.com/listing/hospital/nairobi/lifecare-hospitals-check-reviews-costs-details-book-appointment/
info@kaatun.com,Key Details,,40,https://expertchikitsa.com/listing/hospital/nairobi/kaatun-urology-centre-find-reviews-costs-doctors-book-appointment/
rector@um2ygn.edu.mm,Rector,,35,https://um2ygn.edu.mm/administration/
jhanson@kirby.unsw.edu.au,Jhanson,936-016-1567,35,https://um2ygn.edu.mm/publication/
phh@punhlainghospitals.com,Phh,,35,https://punhlainghospitals.com/doctors/
ndc@punhlainghospitals.com,Ndc,,35,https://punhlainghospitals.com/pun-hlaing-clinic-north-dagon/
care@grandhantha.com,Care,,35,https://grandhantha.com/international-patient-insurance-service/
info@mpshahhospital.org,Info,,35,https://expertchikitsa.com/listing/hospital/nairobi/m-p-shah-hospital-find-reviews-costs-doctor-list-book-appointment/
Info@grandhantha.com,For any Inquires:,,30,https://grandhantha.com/
hr@grandhantha.com,"Careers (Job opportunities, Job Application)",,30,https://grandhantha.com/contact-us/
Medal@D.Ortho,Medal,,30,https://expertchikitsa.com/orthopedics/
expert@expertchitsa.com,Expert,,30,https://expertchikitsa.com/listing/cost/kenya/lipo-360-cost-in-kenya-2023-find-best-plastic-surgeons-reviews/
care@St.Elizabeth,Care,,30,https://expertchikitsa.com/listing/hospital/plastic-surgery/nigeria/lagos/grandville-medical-and-laser-find-reviews-pricelist-and-book-appointment/
info@majestyresidence.com,Majesty Hotel,,25,https://grandhantha.com/nearby-hotels/
more@punhlainghospitals.com,More,,20,https://punhlainghospitals.com/about/
info@sertugsinanege.com,Info,,20,https://expertchikitsa.com/listing/plastic-surgeon/turkey/dr-sertug-sinan-ege-find-reviews-costs-book-a-free-appointment/
enquiry@nairobiwesthospital.com,Enquiry,254 730 6000,10,https://expertchikitsa.com/listing/hospital/nairobi/the-nairobi-west-hospital-find-reviews-costs-details-book-appointment/
